date,store_nbr,transactions
2017-04-25,1,990
2017-04-26,1,945
2017-04-27,1,974
2017-04-28,1,973
2017-04-29,1,1142
2017-04-30,1,1369
2017-05-01,1,1182
2017-05-02,1,974
2017-05-03,1,1039
2017-05-04,1,950
2017-05-05,1,947
2017-05-06,1,1135
2017-05-07,1,1160
2017-05-08,1,980
2017-05-09,1,1033
2017-05-10,1,1014
2017-05-11,1,1013
2017-05-12,1,1002
2017-05-13,1,1220
2017-05-14,1,1118
2017-05-15,1,1076
2017-05-16,1,1044
2017-05-17,1,961
2017-05-18,1,984
2017-05-19,1,1032
2017-05-20,1,1062
2017-05-21,1,1076
2017-05-22,1,915
2017-05-23,1,948
2017-05-24,1,1242
2017-05-25,1,1000
2017-05-26,1,991
2017-05-27,1,1070
2017-05-28,1,1034
2017-05-29,1,982
2017-05-30,1,961
2017-05-31,1,1174
2017-06-01,1,1008
2017-06-02,1,985
2017-06-03,1,1157
2017-06-04,1,1136
2017-06-05,1,1001
2017-06-06,1,951
2017-06-07,1,972
2017-06-08,1,987
2017-06-09,1,1012
2017-06-10,1,1111
2017-06-11,1,1147
2017-06-12,1,969
2017-06-13,1,975
2017-06-14,1,1013
2017-06-15,1,1076
2017-06-16,1,928
2017-06-17,1,1067
2017-06-18,1,1033
2017-06-19,1,952
2017-06-20,1,1009
2017-06-21,1,968
2017-06-22,1,987
2017-06-23,1,1023
2017-06-24,1,1180
2017-06-25,1,1124
2017-06-26,1,1034
2017-06-27,1,983
2017-06-28,1,946
2017-06-29,1,956
2017-06-30,1,1097
2017-07-01,1,1091
2017-07-02,1,1112
2017-07-03,1,1012
2017-07-04,1,1048
2017-07-05,1,924
2017-07-06,1,995
2017-07-07,1,938
2017-07-08,1,1145
2017-07-09,1,1121
2017-07-10,1,906
2017-07-11,1,1017
2017-07-12,1,955
2017-07-13,1,958
2017-07-14,1,937
2017-07-15,1,1303
2017-07-16,1,1144
2017-07-17,1,972
2017-07-18,1,993
2017-07-19,1,994
2017-07-20,1,1032
2017-07-21,1,966
2017-07-22,1,1067
2017-07-23,1,1169
2017-07-24,1,966
2017-07-25,1,1024
2017-07-26,1,995
2017-07-27,1,974
2017-07-28,1,993
2017-07-29,1,1205
2017-07-30,1,1210
2017-07-31,1,1159
2017-08-01,1,986
2017-08-02,1,1023
2017-08-03,1,946
2017-08-04,1,993
2017-08-05,1,1125
2017-08-06,1,1139
2017-08-07,1,946
2017-08-08,1,916
2017-08-09,1,897
2017-08-10,1,1180
2017-08-11,1,961
2017-08-12,1,1115
2017-08-13,1,1204
2017-08-14,1,1024
2017-08-15,1,1407
2017-08-16,1,993
2017-08-17,1,963
2017-08-18,1,968
2017-08-19,1,1134
2017-08-20,1,1151
2017-08-21,1,966
2017-08-22,1,1022
2017-08-23,1,934
2017-08-24,1,1225
2017-08-25,1,1083
2017-08-26,1,1135
2017-08-27,1,1184
2017-08-28,1,983
2017-08-29,1,1003
2017-08-30,1,977
2017-08-31,1,1149
2017-01-01,3,2197
2017-01-02,3,1519
2017-01-03,3,1584
2017-01-04,3,1574
2017-01-05,3,1543
2017-01-06,3,1525
2017-01-07,3,1812
2017-01-08,3,1770
2017-01-09,3,1507
2017-01-10,3,1471
2017-01-11,3,1522
2017-01-12,3,1570
2017-01-13,3,1631
2017-01-14,3,1773
2017-01-15,3,2059
2017-01-16,3,1492
2017-01-17,3,1562
2017-01-18,3,1469
2017-01-19,3,1562
2017-01-20,3,1572
2017-01-21,3,1788
2017-01-22,3,1762
2017-01-23,3,1562
2017-01-24,3,1546
2017-01-25,3,1508
2017-01-26,3,1614
2017-01-27,3,1525
2017-01-28,3,1802
2017-01-29,3,1674
2017-01-30,3,1591
2017-01-31,3,1875
2017-02-01,3,1541
2017-02-02,3,1562
2017-02-03,3,1562
2017-02-04,3,1745
2017-02-05,3,1792
2017-02-06,3,1507
2017-02-07,3,1515
2017-02-08,3,1585
2017-02-09,3,1578
2017-02-10,3,1511
2017-02-11,3,1741
2017-02-12,3,1745
2017-02-13,3,1569
2017-02-14,3,1500
2017-02-15,3,1831
2017-02-16,3,1569
2017-02-17,3,1536
2017-02-18,3,1811
2017-02-19,3,1758
2017-02-20,3,1531
2017-02-21,3,1500
2017-02-22,3,1580
2017-02-23,3,1509
2017-02-24,3,1553
2017-02-25,3,1768
2017-02-26,3,1728
2017-02-27,3,1900
2017-02-28,3,1872
2017-03-01,3,1548
2017-03-02,3,1499
2017-03-03,3,1552
2017-03-04,3,1765
2017-03-05,3,1909
2017-03-06,3,1551
2017-03-07,3,1524
2017-03-08,3,1596
2017-03-09,3,1466
2017-03-10,3,1543
2017-03-11,3,1850
2017-03-12,3,1766
2017-03-13,3,1470
2017-03-14,3,1524
2017-03-15,3,1875
2017-03-16,3,1555
2017-03-17,3,1506
2017-03-18,3,1743
2017-03-19,3,1748
2017-03-20,3,1554
2017-03-21,3,1593
2017-03-22,3,1582
2017-03-23,3,1558
2017-03-24,3,1486
2017-03-25,3,1717
2017-03-26,3,1792
2017-03-27,3,1486
2017-03-28,3,1530
2017-03-29,3,1552
2017-03-30,3,1494
2017-03-31,3,1776
2017-04-01,3,1767
2017-04-02,3,1791
2017-04-03,3,1582
2017-04-04,3,1564
2017-04-05,3,1542
2017-04-06,3,1510
2017-04-07,3,1497
2017-04-08,3,1750
2017-04-09,3,1787
2017-04-10,3,1553
2017-04-11,3,1456
2017-04-12,3,1508
2017-04-13,3,1588
2017-04-14,3,1928
2017-04-15,3,2033
2017-04-16,3,1865
2017-04-17,3,1538
2017-04-18,3,1555
2017-04-19,3,1555
2017-04-20,3,1525
2017-04-21,3,1510
2017-04-22,3,1855
2017-04-23,3,1811
2017-04-24,3,1572
2017-04-25,3,1563
2017-04-26,3,1499
2017-04-27,3,1591
2017-04-28,3,1506
2017-04-29,3,1782
2017-04-30,3,2024
2017-05-01,3,1843
2017-05-02,3,1552
2017-05-03,3,1507
2017-05-04,3,1460
2017-05-05,3,1561
2017-05-06,3,1855
2017-05-07,3,1826
2017-05-08,3,1529
2017-05-09,3,1540
2017-05-10,3,1575
2017-05-11,3,1584
2017-05-12,3,1526
2017-05-13,3,1772
2017-05-14,3,1783
2017-05-15,3,1839
2017-05-16,3,1534
2017-05-17,3,1535
2017-05-18,3,1595
2017-05-19,3,1588
2017-05-20,3,1790
2017-05-21,3,1839
2017-05-22,3,1524
2017-05-23,3,1604
2017-05-24,3,1946
2017-05-25,3,1670
2017-05-26,3,1492
2017-05-27,3,1743
2017-05-28,3,1787
2017-05-29,3,1555
2017-05-30,3,1618
2017-05-31,3,1790
2017-06-01,3,1576
2017-06-02,3,1586
2017-06-03,3,1799
2017-06-04,3,1732
2017-06-05,3,1596
2017-06-06,3,1589
2017-06-07,3,1563
2017-06-08,3,1548
2017-06-09,3,1549
2017-06-10,3,1767
2017-06-11,3,1796
2017-06-12,3,1541
2017-06-13,3,1506
2017-06-14,3,1498
2017-06-15,3,1787
2017-06-16,3,1548
2017-06-17,3,1769
2017-06-18,3,1779
2017-06-19,3,1560
2017-06-20,3,1514
2017-06-21,3,1598
2017-06-22,3,1529
2017-06-23,3,1522
2017-06-24,3,1790
2017-06-25,3,1697
2017-06-26,3,1508
2017-06-27,3,1579
2017-06-28,3,1470
2017-06-29,3,1584
2017-06-30,3,1877
2017-07-01,3,1756
2017-07-02,3,1782
2017-07-03,3,1584
2017-07-04,3,1521
2017-07-05,3,1574
2017-07-06,3,1513
2017-07-07,3,1520
2017-07-08,3,1739
2017-07-09,3,1784
2017-07-10,3,1586
2017-07-11,3,1532
2017-07-12,3,1489
2017-07-13,3,1496
2017-07-14,3,1555
2017-07-15,3,2163
2017-07-16,3,1786
2017-07-17,3,1524
2017-07-18,3,1570
2017-07-19,3,1530
2017-07-20,3,1524
2017-07-21,3,1501
2017-07-22,3,1827
2017-07-23,3,1669
2017-07-24,3,1571
2017-07-25,3,1521
2017-07-26,3,1523
2017-07-27,3,1607
2017-07-28,3,1511
2017-07-29,3,1743
2017-07-30,3,1765
2017-07-31,3,1833
2017-08-01,3,1522
2017-08-02,3,1477
2017-08-03,3,1505
2017-08-04,3,1591
2017-08-05,3,1773
2017-08-06,3,1789
2017-08-07,3,1529
2017-08-08,3,1513
2017-08-09,3,1607
2017-08-10,3,1917
2017-08-11,3,1522
2017-08-12,3,1814
2017-08-13,3,1742
2017-08-14,3,1516
2017-08-15,3,2271
2017-08-16,3,1540
2017-08-17,3,1550
2017-08-18,3,1623
2017-08-19,3,1784
2017-08-20,3,1675
2017-08-21,3,1553
2017-08-22,3,1541
2017-08-23,3,1541
2017-08-24,3,1934
2017-08-25,3,1538
2017-08-26,3,1768
2017-08-27,3,1795
2017-08-28,3,1518
2017-08-29,3,1502
2017-08-30,3,1660
2017-08-31,3,1788
2017-01-01,44,3616
2017-01-02,44,2452
2017-01-03,44,2476
2017-01-04,44,2500
2017-01-05,44,2493
2017-01-06,44,2524
2017-01-07,44,2921
2017-01-08,44,2988
2017-01-09,44,2519
2017-01-10,44,2564
2017-01-11,44,2486
2017-01-12,44,2453
2017-01-13,44,2505
2017-01-14,44,2834
2017-01-15,44,3420
2017-01-16,44,2488
2017-01-17,44,2441
2017-01-18,44,2589
2017-01-19,44,2498
2017-01-20,44,2454
2017-01-21,44,2933
2017-01-22,44,2868
2017-01-23,44,2563
2017-01-24,44,2490
2017-01-25,44,2498
2017-01-26,44,2533
2017-01-27,44,2543
2017-01-28,44,2928
2017-01-29,44,2894
2017-01-30,44,2541
2017-01-31,44,3003
2017-02-01,44,2528
2017-02-02,44,2514
2017-02-03,44,2462
2017-02-04,44,2921
2017-02-05,44,2899
2017-02-06,44,2503
2017-02-07,44,2571
2017-02-08,44,2462
2017-02-09,44,2585
2017-02-10,44,2519
2017-02-11,44,2910
2017-02-12,44,2882
2017-02-13,44,2453
2017-02-14,44,2514
2017-02-15,44,2986
2017-02-16,44,2547
2017-02-17,44,2512
2017-02-18,44,2810
2017-02-19,44,2836
2017-02-20,44,2602
2017-02-21,44,2476
2017-02-22,44,2577
2017-02-23,44,2482
2017-02-24,44,2512
2017-02-25,44,2923
2017-02-26,44,2865
2017-02-27,44,3213
2017-02-28,44,2976
2017-03-01,44,2538
2017-03-02,44,2509
2017-03-03,44,2546
2017-03-04,44,2961
2017-03-05,44,2892
2017-03-06,44,2589
2017-03-07,44,2495
2017-03-08,44,2550
2017-03-09,44,2539
2017-03-10,44,2477
2017-03-11,44,2906
2017-03-12,44,2898
2017-03-13,44,2485
2017-03-14,44,2534
2017-03-15,44,2979
2017-03-16,44,2517
2017-03-17,44,2517
2017-03-18,44,2894
2017-03-19,44,2883
2017-03-20,44,2525
2017-03-21,44,2494
2017-03-22,44,2626
2017-03-23,44,2463
2017-03-24,44,2496
2017-03-25,44,2877
2017-03-26,44,2979
2017-03-27,44,2467
2017-03-28,44,2537
2017-03-29,44,2529
2017-03-30,44,2533
2017-03-31,44,3023
2017-04-01,44,2946
2017-04-02,44,2879
2017-04-03,44,2527
2017-04-04,44,2445
2017-04-05,44,2523
2017-04-06,44,2488
2017-04-07,44,2512
2017-04-08,44,2830
2017-04-09,44,2914
2017-04-10,44,2452
2017-04-11,44,2525
2017-04-12,44,2470
2017-04-13,44,2486
2017-04-14,44,3196
2017-04-15,44,3443
2017-04-16,44,2943
2017-04-17,44,2582
2017-04-18,44,2489
2017-04-19,44,2579
2017-04-20,44,2461
2017-04-21,44,2549
2017-04-22,44,2878
2017-04-23,44,2860
2017-04-24,44,2544
2017-04-25,44,2557
2017-04-26,44,2556
2017-04-27,44,2528
2017-04-28,44,2525
2017-04-29,44,2919
2017-04-30,44,3431
2017-05-01,44,3171
2017-05-02,44,2528
2017-05-03,44,2553
2017-05-04,44,2454
2017-05-05,44,2514
2017-05-06,44,2842
2017-05-07,44,2909
2017-05-08,44,2585
2017-05-09,44,2501
2017-05-10,44,2525
2017-05-11,44,2550
2017-05-12,44,2437
2017-05-13,44,2877
2017-05-14,44,2912
2017-05-15,44,2857
2017-05-16,44,2480
2017-05-17,44,2564
2017-05-18,44,2560
2017-05-19,44,2534
2017-05-20,44,2933
2017-05-21,44,2906
2017-05-22,44,2542
2017-05-23,44,2507
2017-05-24,44,3154
2017-05-25,44,2494
2017-05-26,44,2570
2017-05-27,44,2958
2017-05-28,44,2953
2017-05-29,44,2503
2017-05-30,44,2481
2017-05-31,44,3024
2017-06-01,44,2541
2017-06-02,44,2533
2017-06-03,44,2872
2017-06-04,44,2915
2017-06-05,44,2476
2017-06-06,44,2545
2017-06-07,44,2575
2017-06-08,44,2585
2017-06-09,44,2548
2017-06-10,44,2842
2017-06-11,44,2905
2017-06-12,44,2605
2017-06-13,44,2485
2017-06-14,44,2517
2017-06-15,44,3030
2017-06-16,44,2544
2017-06-17,44,2997
2017-06-18,44,2868
2017-06-19,44,2480
2017-06-20,44,2568
2017-06-21,44,2472
2017-06-22,44,2512
2017-06-23,44,2517
2017-06-24,44,2939
2017-06-25,44,2922
2017-06-26,44,2538
2017-06-27,44,2503
2017-06-28,44,2568
2017-06-29,44,2681
2017-06-30,44,3001
2017-07-01,44,2901
2017-07-02,44,2846
2017-07-03,44,2494
2017-07-04,44,2511
2017-07-05,44,2498
2017-07-06,44,2519
2017-07-07,44,2591
2017-07-08,44,2947
2017-07-09,44,2891
2017-07-10,44,2471
2017-07-11,44,2573
2017-07-12,44,2518
2017-07-13,44,2450
2017-07-14,44,2548
2017-07-15,44,3460
2017-07-16,44,2800
2017-07-17,44,2487
2017-07-18,44,2515
2017-07-19,44,2549
2017-07-20,44,2499
2017-07-21,44,2486
2017-07-22,44,2927
2017-07-23,44,2879
2017-07-24,44,2541
2017-07-25,44,2475
2017-07-26,44,2465
2017-07-27,44,2550
2017-07-28,44,2530
2017-07-29,44,2934
2017-07-30,44,2876
2017-07-31,44,2941
2017-08-01,44,2574
2017-08-02,44,2459
2017-08-03,44,2570
2017-08-04,44,2572
2017-08-05,44,2932
2017-08-06,44,2870
2017-08-07,44,2487
2017-08-08,44,2511
2017-08-09,44,2468
2017-08-10,44,3111
2017-08-11,44,2545
2017-08-12,44,2923
2017-08-13,44,2856
2017-08-14,44,2547
2017-08-15,44,3735
2017-08-16,44,2580
2017-08-17,44,2542
2017-08-18,44,2562
2017-08-19,44,2917
2017-08-20,44,2937
2017-08-21,44,2468
2017-08-22,44,2515
2017-08-23,44,2518
2017-08-24,44,3140
2017-08-25,44,2537
2017-08-26,44,2923
2017-08-27,44,2913
2017-08-28,44,2512
2017-08-29,44,2490
2017-08-30,44,2563
2017-08-31,44,2987
2017-01-01,50,2432
2017-01-02,50,1632
2017-01-03,50,1672
2017-01-04,50,1723
2017-01-05,50,1718
2017-01-06,50,1648
2017-01-07,50,1910
2017-01-08,50,1892
2017-01-09,50,1653
2017-01-10,50,1624
2017-01-11,50,1674
2017-01-12,50,1705
2017-01-13,50,1648
2017-01-14,50,1928
2017-01-15,50,2270
2017-01-16,50,1722
2017-01-17,50,1655
2017-01-18,50,1656
2017-01-19,50,1646
2017-01-20,50,1634
2017-01-21,50,1953
2017-01-22,50,1926
2017-01-23,50,1682
2017-01-24,50,1730
2017-01-25,50,1733
2017-01-26,50,1614
2017-01-27,50,1705
2017-01-28,50,1941
2017-01-29,50,1913
2017-01-30,50,1693
2017-01-31,50,1913
2017-02-01,50,1738
2017-02-02,50,1700
2017-02-03,50,1645
2017-02-04,50,1908
2017-02-05,50,1863
2017-02-06,50,1667
2017-02-07,50,1660
2017-02-08,50,1626
2017-02-09,50,1711
2017-02-10,50,1731
2017-02-11,50,1930
2017-02-12,50,1919
2017-02-13,50,1697
2017-02-14,50,1679
2017-02-15,50,1939
2017-02-16,50,1653
2017-02-17,50,1668
2017-02-18,50,1941
2017-02-19,50,1932
2017-02-20,50,1688
2017-02-21,50,1619
2017-02-22,50,1706
2017-02-23,50,1680
2017-02-24,50,1782
2017-02-25,50,1916
2017-02-26,50,1944
2017-02-27,50,2213
2017-02-28,50,1990
2017-03-01,50,1677
2017-03-02,50,1640
2017-03-03,50,1741
2017-03-04,50,1885
2017-03-05,50,1949
2017-03-06,50,1661
2017-03-07,50,1672
2017-03-08,50,1623
2017-03-09,50,1733
2017-03-10,50,1668
2017-03-11,50,1883
2017-03-12,50,1982
2017-03-13,50,1659
2017-03-14,50,1693
2017-03-15,50,2016
2017-03-16,50,1698
2017-03-17,50,1592
2017-03-18,50,1959
2017-03-19,50,1927
2017-03-20,50,1666
2017-03-21,50,1675
2017-03-22,50,1615
2017-03-23,50,1687
2017-03-24,50,1625
2017-03-25,50,1920
2017-03-26,50,1938
2017-03-27,50,1722
2017-03-28,50,1647
2017-03-29,50,1738
2017-03-30,50,1717
2017-03-31,50,1965
2017-04-01,50,1887
2017-04-02,50,1874
2017-04-03,50,1690
2017-04-04,50,1650
2017-04-05,50,1727
2017-04-06,50,1652
2017-04-07,50,1643
2017-04-08,50,1941
2017-04-09,50,1904
2017-04-10,50,1680
2017-04-11,50,1719
2017-04-12,50,1684
2017-04-13,50,1684
2017-04-14,50,2108
2017-04-15,50,2212
2017-04-16,50,1947
2017-04-17,50,1686
2017-04-18,50,1715
2017-04-19,50,1704
2017-04-20,50,1671
2017-04-21,50,1721
2017-04-22,50,1920
2017-04-23,50,1941
2017-04-24,50,1667
2017-04-25,50,1698
2017-04-26,50,1664
2017-04-27,50,1745
2017-04-28,50,1760
2017-04-29,50,1966
2017-04-30,50,2341
2017-05-01,50,2038
2017-05-02,50,1623
2017-05-03,50,1667
2017-05-04,50,1681
2017-05-05,50,1672
2017-05-06,50,1866
2017-05-07,50,1978
2017-05-08,50,1766
2017-05-09,50,1731
2017-05-10,50,1723
2017-05-11,50,1689
2017-05-12,50,1646
2017-05-13,50,1934
2017-05-14,50,2016
2017-05-15,50,1968
2017-05-16,50,1661
2017-05-17,50,1724
2017-05-18,50,1726
2017-05-19,50,1646
2017-05-20,50,1921
2017-05-21,50,1911
2017-05-22,50,1682
2017-05-23,50,1724
2017-05-24,50,2067
2017-05-25,50,1723
2017-05-26,50,1684
2017-05-27,50,2025
2017-05-28,50,1944
2017-05-29,50,1676
2017-05-30,50,1702
2017-05-31,50,1968
2017-06-01,50,1608
2017-06-02,50,1670
2017-06-03,50,1921
2017-06-04,50,1868
2017-06-05,50,1677
2017-06-06,50,1597
2017-06-07,50,1666
2017-06-08,50,1689
2017-06-09,50,1683
2017-06-10,50,1915
2017-06-11,50,1928
2017-06-12,50,1648
2017-06-13,50,1680
2017-06-14,50,1682
2017-06-15,50,1946
2017-06-16,50,1690
2017-06-17,50,1942
2017-06-18,50,1925
2017-06-19,50,1776
2017-06-20,50,1674
2017-06-21,50,1668
2017-06-22,50,1663
2017-06-23,50,1641
2017-06-24,50,1959
2017-06-25,50,1904
2017-06-26,50,1657
2017-06-27,50,1658
2017-06-28,50,1640
2017-06-29,50,1609
2017-06-30,50,1963
2017-07-01,50,1966
2017-07-02,50,1939
2017-07-03,50,1742
2017-07-04,50,1710
2017-07-05,50,1700
2017-07-06,50,1755
2017-07-07,50,1676
2017-07-08,50,1934
2017-07-09,50,1931
2017-07-10,50,1741
2017-07-11,50,1680
2017-07-12,50,1654
2017-07-13,50,1703
2017-07-14,50,1647
2017-07-15,50,2301
2017-07-16,50,1948
2017-07-17,50,1672
2017-07-18,50,1702
2017-07-19,50,1620
2017-07-20,50,1686
2017-07-21,50,1661
2017-07-22,50,2046
2017-07-23,50,1938
2017-07-24,50,1656
2017-07-25,50,1624
2017-07-26,50,1732
2017-07-27,50,1665
2017-07-28,50,1648
2017-07-29,50,1945
2017-07-30,50,1957
2017-07-31,50,2007
2017-08-01,50,1680
2017-08-02,50,1686
2017-08-03,50,1689
2017-08-04,50,1693
2017-08-05,50,1948
2017-08-06,50,1975
2017-08-07,50,1682
2017-08-08,50,1647
2017-08-09,50,1674
2017-08-10,50,2130
2017-08-11,50,1608
2017-08-12,50,1860
2017-08-13,50,1968
2017-08-14,50,1740
2017-08-15,50,2427
2017-08-16,50,1684
2017-08-17,50,1664
2017-08-18,50,1669
2017-08-19,50,1944
2017-08-20,50,1880
2017-08-21,50,1635
2017-08-22,50,1667
2017-08-23,50,1674
2017-08-24,50,2054
2017-08-25,50,1711
2017-08-26,50,1915
2017-08-27,50,1915
2017-08-28,50,1691
2017-08-29,50,1674
2017-08-30,50,1713
2017-08-31,50,1945
