date,dcoilwtico
2017-05-25,48.46966832930733
2017-05-26,48.66979634028664
2017-05-27,
2017-05-28,
2017-05-29,49.37143666925442
2017-05-30,48.74036693083486
2017-05-31,48.45399553015557
2017-06-01,47.819871391607165
2017-06-02,47.317922634824654
2017-06-03,
2017-06-04,
2017-06-05,48.96800029413882
2017-06-06,47.82836957333598
2017-06-07,48.1743249778978
2017-06-08,47.111604963253306
2017-06-09,46.5192771067487
2017-06-10,
2017-06-11,
2017-06-12,47.92555578042813
2017-06-13,45.950729391781486
2017-06-14,46.73728808931706
2017-06-15,45.47926316513386
2017-06-16,46.3636377003896
2017-06-17,
2017-06-18,
2017-06-19,45.11906795646595
2017-06-20,44.528466518888905
2017-06-21,44.96703883904201
2017-06-22,44.205389364960176
2017-06-23,43.52360945583893
2017-06-24,
2017-06-25,
2017-06-26,44.56459792736812
2017-06-27,43.506858909728216
2017-06-28,43.13830519352389
2017-06-29,43.18513297035825
2017-06-30,43.607516601466614
2017-07-01,
2017-07-02,
2017-07-03,42.96104739380462
2017-07-04,42.39496126374501
2017-07-05,42.90842619323628
2017-07-06,41.95547553344025
2017-07-07,40.979149224768946
2017-07-08,
2017-07-09,
2017-07-10,42.41522469503215
2017-07-11,41.184288839593734
2017-07-12,40.98450457996598
2017-07-13,42.025381046501025
2017-07-14,40.430268804333835
2017-07-15,
2017-07-16,
2017-07-17,40.76846430903844
2017-07-18,40.99696605376514
2017-07-19,40.90912760885982
2017-07-20,41.22921255945972
2017-07-21,41.90289164623423
2017-07-22,
2017-07-23,
2017-07-24,39.99589823131945
2017-07-25,41.27619372543991
2017-07-26,40.89030995649059
2017-07-27,40.76690346499211
2017-07-28,41.084048335645704
2017-07-29,
2017-07-30,
2017-07-31,41.214541960410465
2017-08-01,42.180930319254145
2017-08-02,42.03297890144847
2017-08-03,42.29606458055838
2017-08-04,43.27124769555242
2017-08-05,
2017-08-06,
2017-08-07,43.148514989807914
2017-08-08,43.025851860940186
2017-08-09,43.51610420005845
2017-08-10,44.007083927907196
2017-08-11,44.18220895146755
2017-08-12,
2017-08-13,
2017-08-14,44.87164940867854
2017-08-15,46.467225030626764
2017-08-16,46.30500905469111
2017-08-17,44.888565931851
2017-08-18,45.448455749457835
2017-08-19,
2017-08-20,
2017-08-21,46.45718698624107
2017-08-22,47.20003623875569
2017-08-23,46.2432178446604
2017-08-24,46.48713845101278
2017-08-25,45.78441124112443
2017-08-26,
2017-08-27,
2017-08-28,47.29393740121437
2017-08-29,47.24968967140767
2017-08-30,47.8748885868326
2017-08-31,47.02340371927513
